Date,Open,High,Low,Close,Adj Close,Volume
2013-09-18,88.910004,89.870003,88.370003,89.580002,75.495285,15134700
2013-09-19,89.639999,89.739998,88.980003,89.279999,75.242462,11757500
2013-09-20,89.529999,89.750000,88.589996,88.660004,74.719948,20651100
2013-09-23,88.290001,88.910004,87.639999,87.750000,73.953018,12227700
2013-09-24,87.589996,88.070000,87.279999,87.360001,73.624352,12129200
2013-09-25,87.589996,87.599998,86.930000,87.139999,73.438934,13577400
2013-09-26,87.400002,87.449997,86.809998,87.070000,73.379936,9787100
2013-09-27,86.849998,87.010002,86.610001,86.900002,73.236656,10867100
2013-09-30,86.059998,86.699997,85.610001,86.040001,72.511879,17486100
2013-10-01,85.989998,86.339996,85.779999,86.000000,72.478180,11885100
2013-10-02,85.750000,86.110001,85.279999,86.080002,72.545616,11841400
2013-10-03,86.040001,86.050003,85.339996,85.500000,72.056793,13923400
2013-10-04,86.309998,86.419998,85.680000,86.320000,72.747871,11325500
2013-10-07,85.570000,86.290001,85.269997,85.900002,72.393913,10985800
2013-10-08,85.860001,85.949997,85.470001,85.510002,72.065216,15335700
2013-10-09,85.349998,85.589996,84.830002,85.160004,71.770256,13575100
2013-10-10,85.519997,86.040001,84.790001,86.040001,72.511879,17532400
2013-10-11,85.900002,86.949997,85.500000,86.949997,73.278801,12661800
2013-10-14,86.510002,87.739998,86.510002,87.599998,73.826607,9742100
2013-10-15,87.470001,87.580002,86.639999,86.790001,73.143982,12018000
2013-10-16,87.480003,87.860001,86.720001,87.309998,73.582207,11668100
2013-10-17,87.129997,87.500000,87.010002,87.480003,73.725471,10438200
2013-10-18,87.690002,87.739998,87.300003,87.550003,73.784454,12425100
2013-10-21,87.500000,87.650002,86.839996,87.230003,73.514793,10730900
2013-10-22,87.290001,88.150002,87.129997,87.980003,74.146866,12710600
2013-10-23,87.519997,87.650002,86.949997,87.610001,73.835037,11449100
2013-10-24,87.980003,88.730003,87.970001,88.419998,74.517685,12288900
2013-10-25,88.230003,88.650002,87.820000,87.970001,74.138451,11382000
2013-10-28,87.830002,88.459999,87.610001,88.230003,74.357567,9921900
2013-10-29,88.449997,89.029999,88.440002,88.930000,74.947495,10340000
2013-10-30,88.970001,89.480003,88.690002,88.809998,74.846352,14305900
2013-10-31,89.449997,90.959999,89.199997,89.620003,75.529007,19185200
2013-11-01,89.739998,90.040001,88.269997,89.820000,75.697571,19023500
2013-11-04,90.000000,92.269997,90.000000,92.099998,77.619064,20591600
2013-11-05,91.339996,93.250000,91.239998,91.989998,77.526375,21122500
2013-11-06,92.419998,93.279999,92.120003,93.220001,78.562965,13464600
2013-11-07,92.639999,92.980003,91.760002,91.959999,78.028419,16572100
2013-11-08,91.800003,92.820000,91.480003,92.730003,78.681755,12330100
2013-11-11,92.849998,93.230003,92.500000,92.959999,78.876915,7924700
2013-11-12,92.669998,93.320000,92.500000,92.669998,78.630882,10727300
2013-11-13,92.220001,92.739998,92.070000,92.589996,78.562973,9280000
2013-11-14,92.680000,93.419998,92.680000,93.220001,79.097527,7909200
2013-11-15,94.150002,95.290001,94.029999,95.269997,80.836967,18374500
